claim_id,unit_id,documento,pagina,seccion,tema,subtema,tipo_de_afirmacion,sujeto,afirmacion_normalizada,condiciones,excepciones,periodo,cifra_o_unidad,cita_textual,observaciones
CA-00206,A-000167,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,1,,,,1,1 [@table@body[156]/r[0]/c[2]],auto-atomized from A-000167 (table_cell); seg 1/1; tipo heuristic
CA-00207,A-000168,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,0,,,,0,0 [@table@body[156]/r[0]/c[3]],auto-atomized from A-000168 (table_cell); seg 1/1; tipo heuristic
CA-00208,A-000169,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,No,,,,,No [@table@body[156]/r[0]/c[4]],auto-atomized from A-000169 (table_cell); seg 1/1; tipo heuristic
CA-00209,A-000170,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,2,,,,2,2 [@table@body[156]/r[1]/c[0]],auto-atomized from A-000170 (table_cell); seg 1/1; tipo heuristic
CA-00210,A-000171,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,Individual club,,,,,Individual club [@table@body[156]/r[1]/c[1]],auto-atomized from A-000171 (table_cell); seg 1/1; tipo heuristic
CA-00211,A-000172,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,49,,,,49,49 [@table@body[156]/r[1]/c[2]],auto-atomized from A-000172 (table_cell); seg 1/1; tipo heuristic
CA-00212,A-000173,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,/clubes/[club]/,,,,,/clubes/[club]/ [@table@body[156]/r[1]/c[3]],auto-atomized from A-000173 (table_cell); seg 1/1; tipo heuristic
CA-00213,A-000174,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,No,,,,,No [@table@body[156]/r[1]/c[4]],auto-atomized from A-000174 (table_cell); seg 1/1; tipo heuristic
CA-00214,A-000175,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,3,,,,3,3 [@table@body[156]/r[2]/c[0]],auto-atomized from A-000175 (table_cell); seg 1/1; tipo heuristic
CA-00215,A-000176,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,Amenity,,,,,Amenity [@table@body[156]/r[2]/c[1]],auto-atomized from A-000176 (table_cell); seg 1/1; tipo heuristic
CA-00216,A-000177,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,10,,,,10,10 [@table@body[156]/r[2]/c[2]],auto-atomized from A-000177 (table_cell); seg 1/1; tipo heuristic
CA-00217,A-000178,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,/amenidades/[amenidad]/,,,,,/amenidades/[amenidad]/ [@table@body[156]/r[2]/c[3]],auto-atomized from A-000178 (table_cell); seg 1/1; tipo heuristic
CA-00218,A-000179,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,No,,,,,No [@table@body[156]/r[2]/c[4]],auto-atomized from A-000179 (table_cell); seg 1/1; tipo heuristic
CA-00219,A-000180,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,4,,,,4,4 [@table@body[156]/r[3]/c[0]],auto-atomized from A-000180 (table_cell); seg 1/1; tipo heuristic
CA-00220,A-000181,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,Premium Les,,,,,Premium Les [@table@body[156]/r[3]/c[1]],auto-atomized from A-000181 (table_cell); seg 1/1; tipo heuristic
CA-00221,A-000182,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,7,,,,7,7 [@table@body[156]/r[3]/c[2]],auto-atomized from A-000182 (table_cell); seg 1/1; tipo heuristic
CA-00222,A-000183,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,/clases/signature/[clase]/,,,,,/clases/signature/[clase]/ [@table@body[156]/r[3]/c[3]],auto-atomized from A-000183 (table_cell); seg 1/1; tipo heuristic
CA-00223,A-000184,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,No,,,,,No [@table@body[156]/r[3]/c[4]],auto-atomized from A-000184 (table_cell); seg 1/1; tipo heuristic
CA-00224,A-000185,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,Millsclass,,,,,Millsclass [@table@body[156]/r[4]/c[1]],auto-atomized from A-000185 (table_cell); seg 1/1; tipo heuristic
CA-00225,A-000186,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,5,,,,5,5 [@table@body[156]/r[5]/c[0]],auto-atomized from A-000186 (table_cell); seg 1/1; tipo heuristic
CA-00226,A-000187,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,Regular class,,,,,Regular class [@table@body[156]/r[5]/c[1]],auto-atomized from A-000187 (table_cell); seg 1/1; tipo heuristic
CA-00227,A-000188,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,44,,,,44,44 [@table@body[156]/r[5]/c[2]],auto-atomized from A-000188 (table_cell); seg 1/1; tipo heuristic
CA-00228,A-000189,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,/clases/[clase]/,,,,,/clases/[clase]/ [@table@body[156]/r[5]/c[3]],auto-atomized from A-000189 (table_cell); seg 1/1; tipo heuristic
CA-00229,A-000190,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,No,,,,,No [@table@body[156]/r[5]/c[4]],auto-atomized from A-000190 (table_cell); seg 1/1; tipo heuristic
CA-00230,A-000191,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,6,,,,6,6 [@table@body[156]/r[6]/c[0]],auto-atomized from A-000191 (table_cell); seg 1/1; tipo heuristic
CA-00231,A-000192,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,FitKidz,,,,,FitKidz [@table@body[156]/r[6]/c[1]],auto-atomized from A-000192 (table_cell); seg 1/1; tipo heuristic
CA-00232,A-000193,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,1,,,,1,1 [@table@body[156]/r[6]/c[2]],auto-atomized from A-000193 (table_cell); seg 1/1; tipo heuristic
CA-00233,A-000194,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,/fitkidz/,,,,,/fitkidz/ [@table@body[156]/r[6]/c[3]],auto-atomized from A-000194 (table_cell); seg 1/1; tipo heuristic
CA-00234,A-000195,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,No,,,,,No [@table@body[156]/r[6]/c[4]],auto-atomized from A-000195 (table_cell); seg 1/1; tipo heuristic
CA-00235,A-000196,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,7,,,,7,7 [@table@body[156]/r[7]/c[0]],auto-atomized from A-000196 (table_cell); seg 1/1; tipo heuristic
CA-00236,A-000197,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,Goal hub,,,,,Goal hub [@table@body[156]/r[7]/c[1]],auto-atomized from A-000197 (table_cell); seg 1/1; tipo heuristic
CA-00237,A-000198,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,5,,,,5,5 [@table@body[156]/r[7]/c[2]],auto-atomized from A-000198 (table_cell); seg 1/1; tipo heuristic
CA-00238,A-000199,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,/perfiles/[objetivo]/,,,,,/perfiles/[objetivo]/ [@table@body[156]/r[7]/c[3]],auto-atomized from A-000199 (table_cell); seg 1/1; tipo heuristic
CA-00239,A-000200,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,Only,,,,,Only [@table@body[156]/r[7]/c[4]],auto-atomized from A-000200 (table_cell); seg 1/1; tipo heuristic
CA-00240,A-000201,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,rehabilitation,,,,,rehabilitation [@table@body[156]/r[8]/c[4]],auto-atomized from A-000201 (table_cell); seg 1/1; tipo heuristic
CA-00241,A-000202,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,8[Bajar de,,,,8,8[Bajar de  [@table@body[156]/r[10]/c[0]],auto-atomized from A-000202 (table_cell); seg 1/1; tipo heuristic
CA-00242,A-000203,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,1,,,,1,1 [@table@body[156]/r[10]/c[1]],auto-atomized from A-000203 (table_cell); seg 1/1; tipo heuristic
CA-00243,A-000204,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,/bajar-de-peso/,,,,,/bajar-de-peso/ [@table@body[156]/r[10]/c[2]],auto-atomized from A-000204 (table_cell); seg 1/1; tipo heuristic
CA-00244,A-000205,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,Yes(YMYL),,,,,Yes(YMYL) [@table@body[156]/r[10]/c[3]],auto-atomized from A-000205 (table_cell); seg 1/1; tipo heuristic
CA-00245,A-000206,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,peso)hub,,,,,peso)hub [@table@body[156]/r[11]/c[0]],auto-atomized from A-000206 (table_cell); seg 1/1; tipo heuristic
CA-00246,A-000207,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,9Personal Training,,,,9Personal,9Personal Training [@table@body[156]/r[12]/c[0]],auto-atomized from A-000207 (table_cell); seg 1/1; tipo heuristic
CA-00247,A-000208,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,1,,,,1,1 [@table@body[156]/r[12]/c[1]],auto-atomized from A-000208 (table_cell); seg 1/1; tipo heuristic
CA-00248,A-000209,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,/personal-training/,,,,,/personal-training/ [@table@body[156]/r[12]/c[2]],auto-atomized from A-000209 (table_cell); seg 1/1; tipo heuristic
CA-00249,A-000210,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,No,,,,,No [@table@body[156]/r[12]/c[3]],auto-atomized from A-000210 (table_cell); seg 1/1; tipo heuristic
CA-00250,A-000211,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,10Memberships,,,,10Memberships,10Memberships [@table@body[156]/r[13]/c[0]],auto-atomized from A-000211 (table_cell); seg 1/1; tipo heuristic
CA-00251,A-000212,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,6(1 hub+ 5plans),,,,6; 1 h; 5plans,6(1 hub+ 5plans) [@table@body[156]/r[13]/c[1]],auto-atomized from A-000212 (table_cell); seg 1/1; tipo heuristic
CA-00252,A-000213,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,/membresias/ and/membresias/[plan]/,,,,,/membresias/ and/membresias/[plan]/ [@table@body[156]/r[13]/c[2]],auto-atomized from A-000213 (table_cell); seg 1/1; tipo heuristic
CA-00253,A-000214,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,No,,,,,No [@table@body[156]/r[13]/c[3]],auto-atomized from A-000214 (table_cell); seg 1/1; tipo heuristic
CA-00254,A-000215,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,11Journal article,,,,11Journal,11Journal article [@table@body[156]/r[14]/c[0]],auto-atomized from A-000215 (table_cell); seg 1/1; tipo heuristic
CA-00255,A-000216,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,20,,,,20,20 [@table@body[156]/r[14]/c[1]],auto-atomized from A-000216 (table_cell); seg 1/1; tipo heuristic
CA-00256,A-000217,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,/diario/[articulo]/,,,,,/diario/[articulo]/ [@table@body[156]/r[14]/c[2]],auto-atomized from A-000217 (table_cell); seg 1/1; tipo heuristic
CA-00257,A-000218,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,"Some,yes",,,,,"Some,yes [@table@body[156]/r[14]/c[3]]",auto-atomized from A-000218 (table_cell); seg 1/1; tipo heuristic
CA-00258,A-000219,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,Total signed pages:1 + 49 + 10 + 7 + 44 + 1 + 5 + 1 + 1 + 6 + 20 = 145pages.,,,,1; 49; 10; 7; 44; 1; 5; 1,Total signed pages:1 + 49 + 10 + 7 + 44 + 1 + 5 + 1 + 1 + 6 + 20 = 145pages. [@body[159]],auto-atomized from A-000219 (paragraph); seg 1/1; tipo heuristic
CA-00259,A-000220,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,BES. The conversational assistant is a global floating widget present on every page (Rule 3),,,,3,BES. The conversational assistant is a global floating widget present on every page (Rule 3). It [@body[160]],auto-atomized from A-000220 (paragraph); seg 1/2; tipo heuristic
CA-00260,A-000220,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,It,,,,,BES. The conversational assistant is a global floating widget present on every page (Rule 3). It [@body[160]],auto-atomized from A-000220 (paragraph); seg 2/2; tipo heuristic
CA-00261,A-000221,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,also exposes a fallback URLfor users without JavaScript and for deep-linking,,,,,also exposes a fallback URLfor users without JavaScript and for deep-linking. BES is [@body[161]],auto-atomized from A-000221 (paragraph); seg 1/2; tipo heuristic
CA-00262,A-000221,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,BES is,,,,,also exposes a fallback URLfor users without JavaScript and for deep-linking. BES is [@body[161]],auto-atomized from A-000221 (paragraph); seg 2/2; tipo heuristic
CA-00263,A-000222,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,/bes,,,,,/bes [@body[161]/txbx[0]/p[0]],auto-atomized from A-000222 (textbox_paragraph); seg 1/1; tipo heuristic
CA-00264,A-000223,v4.1,,Part 3 -Information Architecture,Page inventory,Page inventory,definicion,Page inventory,delivered as a separate workstream with its own specification; this document covers only its integration points and behavioral interfaces with the rest of the site.,,,,,delivered as a separate workstream with its own specification; this document covers only its integration points and behavioral interfaces with the rest of the site. [@body[162]],auto-atomized from A-000223 (paragraph); seg 1/1; tipo heuristic
CA-00265,A-000224,v4.1,,Part 3 -Information Architecture,Detail on certain page types:,Detail on certain page types:,definicion,Detail on certain page types:,Detail on certain page types:,,,,,Detail on certain page types: [@body[163]/Heading4],auto-atomized from A-000224 (heading); seg 1/1; tipo heuristic
CA-00266,A-000225,v4.1,,Part 3 -Information Architecture,Detail on certain page types:,Detail on certain page types:,definicion,Detail on certain page types:,"The 5 goal hubs are: first steps, health and wellness, tone, build strength, rehabilitation.",,,,5,"The 5 goal hubs are: first steps, health and wellness, tone, build strength, rehabilitation. [@body[164]]",auto-atomized from A-000225 (paragraph); seg 1/1; tipo heuristic
CA-00267,A-000226,v4.1,,Part 3 -Information Architecture,Detail on certain page types:,Detail on certain page types:,definicion,Detail on certain page types:,"The 5 membership plans are: UniClub, AllClub, Black Pass, Pink Plan, and the 21-Day Promo.",,,,5; 21-Day,"The 5 membership plans are: UniClub, AllClub, Black Pass, Pink Plan, and the 21-Day Promo. [@body[165]]",auto-atomized from A-000226 (paragraph); seg 1/1; tipo heuristic
CA-00268,A-000227,v4.1,,Part 3 -Information Architecture,Detail on certain page types:,Detail on certain page types:,definicion,Detail on certain page types:,"The 10 amenity hubs are: pool, INTENZ (functional training zone), FitKidz, boxing ring, climbing wall, courts, sauna and steam room, showers and locker rooms, cafe, and parking.",,,,10,"The 10 amenity hubs are: pool, INTENZ (functional training zone), FitKidz, boxing ring, climbing wall, courts, sauna and steam room, showers and locker rooms, cafe, and parking. [@body[166]]",auto-atomized from A-000227 (paragraph); seg 1/1; tipo heuristic
CA-00269,A-000228,v4.1,,Part 3 -Information Architecture,Detail on certain page types:,Detail on certain page types:,definicion,Detail on certain page types:,"""FitKidz"" appears both as a page type (the parent hub) and as one of the 10 amenities",,,,10,"""FitKidz"" appears both as a page type (the parent hub) and as one of the 10 amenities. The FitKidz hub is the fully-built page; the FitKidz amenity entry is a pointer that links to it. [@body[168]]",auto-atomized from A-000228 (paragraph); seg 1/2; tipo heuristic
CA-00270,A-000228,v4.1,,Part 3 -Information Architecture,Detail on certain page types:,Detail on certain page types:,definicion,Detail on certain page types:,The FitKidz hub is the fully-built page; the FitKidz amenity entry is a pointer that links to it.,,,,,"""FitKidz"" appears both as a page type (the parent hub) and as one of the 10 amenities. The FitKidz hub is the fully-built page; the FitKidz amenity entry is a pointer that links to it. [@body[168]]",auto-atomized from A-000228 (paragraph); seg 2/2; tipo heuristic
CA-00271,A-000229,v4.1,,Part 3 -Information Architecture,Detail on certain page types:,Detail on certain page types:,definicion,Detail on certain page types:,The FitKidz hub absorbs all 34 children's activities,,,,34,"The FitKidz hub absorbs all 34 children's activities. Children's activities do not have individual pages; they are organized within the hub by age range, discipline type, and club availability. [@body[169]]",auto-atomized from A-000229 (paragraph); seg 1/2; tipo heuristic
CA-00272,A-000229,v4.1,,Part 3 -Information Architecture,Detail on certain page types:,Detail on certain page types:,definicion,Detail on certain page types:,"Children's activities do not have individual pages; they are organized within the hub by age range, discipline type, and club availability.",,,,,"The FitKidz hub absorbs all 34 children's activities. Children's activities do not have individual pages; they are organized within the hub by age range, discipline type, and club availability. [@body[169]]",auto-atomized from A-000229 (paragraph); seg 2/2; tipo heuristic
CA-00273,A-000230,v4.1,,Part 3 -Information Architecture,Detail on certain page types:,Detail on certain page types:,definicion,Detail on certain page types:,Architecture diagram (text representation),,,,,Architecture diagram (text representation) [@body[170]],auto-atomized from A-000230 (paragraph); seg 1/1; tipo heuristic
CA-00274,A-000231,v4.1,,Part 3 -Information Architecture,Detail on certain page types:,Detail on certain page types:,definicion,Detail on certain page types:,TtTT,,,,,TtTT [@body[175]],auto-atomized from A-000231 (paragraph); seg 1/1; tipo heuristic
CA-00275,A-000232,v4.1,,Part 3 -Information Architecture,Detail on certain page types:,Detail on certain page types:,definicion,Detail on certain page types:,The diagram above is a textual approximation,,,,,The diagram above is a textual approximation. The design team produces the formal IA diagram as a Week-1 deliverable. Anti-orphan rule: every page must be reachable from at least two other pages. The cross-linking matrix is enforced by Rule 10. [@body[220]],auto-atomized from A-000232 (paragraph); seg 1/4; tipo heuristic
CA-00276,A-000232,v4.1,,Part 3 -Information Architecture,Detail on certain page types:,Detail on certain page types:,definicion,Detail on certain page types:,The design team produces the formal IA diagram as a Week-1 deliverable,,,,1,The diagram above is a textual approximation. The design team produces the formal IA diagram as a Week-1 deliverable. Anti-orphan rule: every page must be reachable from at least two other pages. The cross-linking matrix is enforced by Rule 10. [@body[220]],auto-atomized from A-000232 (paragraph); seg 2/4; tipo heuristic
CA-00277,A-000232,v4.1,,Part 3 -Information Architecture,Detail on certain page types:,Detail on certain page types:,definicion,Detail on certain page types:,Anti-orphan rule: every page must be reachable from at least two other pages,,,,,The diagram above is a textual approximation. The design team produces the formal IA diagram as a Week-1 deliverable. Anti-orphan rule: every page must be reachable from at least two other pages. The cross-linking matrix is enforced by Rule 10. [@body[220]],auto-atomized from A-000232 (paragraph); seg 3/4; tipo heuristic
CA-00278,A-000232,v4.1,,Part 3 -Information Architecture,Detail on certain page types:,Detail on certain page types:,definicion,Detail on certain page types:,The cross-linking matrix is enforced by Rule 10.,,,,10.,The diagram above is a textual approximation. The design team produces the formal IA diagram as a Week-1 deliverable. Anti-orphan rule: every page must be reachable from at least two other pages. The cross-linking matrix is enforced by Rule 10. [@body[220]],auto-atomized from A-000232 (paragraph); seg 4/4; tipo heuristic
CA-00279,A-000233,v4.1,,Part 4 -Global Rules,Part 4 -Global Rules,,cifra,Part 4 -Global Rules,Part 4 -Global Rules,,,,4,Part 4 -Global Rules [@body[223]/Heading1],auto-atomized from A-000233 (heading); seg 1/1; tipo heuristic
CA-00280,A-000234,v4.1,,Part 4 -Global Rules,Rule 1,Header and global widgets Rule 1 - Desktop header structure,cifra,Rule 1,Header and global widgets Rule 1 - Desktop header structure,,,,1,Header and global widgets Rule 1 - Desktop header structure [@body[224]/Heading4],auto-atomized from A-000234 (heading); seg 1/1; tipo heuristic
CA-00281,A-000235,v4.1,,Part 4 -Global Rules,Rule 1,Header and global widgets Rule 1 - Desktop header structure,regla,Rule 1,The header is fixed to the top of the screen on every page,,,,,"The header is fixed to the top of the screen on every page. It contains five elements, from left to right: [@body[225]]",auto-atomized from A-000235 (paragraph); seg 1/2; tipo heuristic
CA-00282,A-000235,v4.1,,Part 4 -Global Rules,Rule 1,Header and global widgets Rule 1 - Desktop header structure,regla,Rule 1,"It contains five elements, from left to right:",,,,,"The header is fixed to the top of the screen on every page. It contains five elements, from left to right: [@body[225]]",auto-atomized from A-000235 (paragraph); seg 2/2; tipo heuristic
CA-00283,A-000236,v4.1,,Part 4 -Global Rules,Rule 1,Header and global widgets Rule 1 - Desktop header structure,regla,Rule 1,Sports World logo - always returns to the home page on click.,,,,,Sports World logo -  always returns to the home page on click. [@body[226]],auto-atomized from A-000236 (paragraph); seg 1/1; tipo heuristic
CA-00284,A-000237,v4.1,,Part 4 -Global Rules,Rule 1,Header and global widgets Rule 1 - Desktop header structure,regla,Rule 1,Tu Sports World (Your Sports World) - opens a side drawer with the 8 main hubs of the site (Rule 4).,,,,8; 4,Tu Sports World (Your Sports World) - opens a side drawer with the 8 main hubs of the site (Rule 4). [@body[227]],auto-atomized from A-000237 (paragraph); seg 1/1; tipo heuristic
CA-00285,A-000238,v4.1,,Part 4 -Global Rules,Rule 1,Header and global widgets Rule 1 - Desktop header structure,regla,Rule 1,Disefia tu experiencia (Design your experience) - opens the questionnaire (Rules 18-21).,,,,18-21,Disefia tu experiencia (Design your experience) - opens the questionnaire (Rules 18-21). [@body[228]],auto-atomized from A-000238 (paragraph); seg 1/1; tipo heuristic
CA-00286,A-000239,v4.1,,Part 4 -Global Rules,Rule 1,Header and global widgets Rule 1 - Desktop header structure,regla,Rule 1,Preguntale a BES (Ask BES) -opens the BES global widget (Rule 3).,,,,3,Preguntale a BES (Ask BES) -opens the BES global widget (Rule 3). [@body[229]],auto-atomized from A-000239 (paragraph); seg 1/1; tipo heuristic
CA-00287,A-000240,v4.1,,Part 4 -Global Rules,Rule 1,Header and global widgets Rule 1 - Desktop header structure,regla,Rule 1,Agenda tu visita (Book your visit) -red pill button leading to the guided-visit booking flow (Rule 6).,,,,6,Agenda tu visita (Book your visit) -red pill button leading to the guided-visit booking flow (Rule 6). [@body[230]],auto-atomized from A-000240 (paragraph); seg 1/1; tipo heuristic
CA-00288,A-000241,v4.1,,Part 4 -Global Rules,Rule 1,Header and global widgets Rule 1 - Desktop header structure,cifra,Rule 1,"Items 2, 3, and 4 are three parallel paths through the site",,,,2; 3; 4,"Items 2, 3, and 4 are three parallel paths through the site. They share equal hierarchy: the user picks whichever they prefer. Item 5 is the only conversion action and is treated visually differently. [@body[232]]",auto-atomized from A-000241 (paragraph); seg 1/3; tipo heuristic
CA-00289,A-000241,v4.1,,Part 4 -Global Rules,Rule 1,Header and global widgets Rule 1 - Desktop header structure,regla,Rule 1,They share equal hierarchy: the user picks whichever they prefer,,,,,"Items 2, 3, and 4 are three parallel paths through the site. They share equal hierarchy: the user picks whichever they prefer. Item 5 is the only conversion action and is treated visually differently. [@body[232]]",auto-atomized from A-000241 (paragraph); seg 2/3; tipo heuristic
CA-00290,A-000241,v4.1,,Part 4 -Global Rules,Rule 1,Header and global widgets Rule 1 - Desktop header structure,regla,Rule 1,Item 5 is the only conversion action and is treated visually differently.,,,,5,"Items 2, 3, and 4 are three parallel paths through the site. They share equal hierarchy: the user picks whichever they prefer. Item 5 is the only conversion action and is treated visually differently. [@body[232]]",auto-atomized from A-000241 (paragraph); seg 3/3; tipo heuristic
CA-00291,A-000242,v4.1,,Part 4 -Global Rules,Rule 2,Rule 2 - Mobile header structure,cifra,Rule 2,Rule 2 - Mobile header structure,,,,2,Rule 2 -  Mobile header structure [@body[233]/Heading4],auto-atomized from A-000242 (heading); seg 1/1; tipo heuristic
CA-00292,A-000243,v4.1,,Part 4 -Global Rules,Rule 2,Rule 2 - Mobile header structure,regla,Rule 2,"On screens narrower than 1024 pixels, the four left-side elements do not fit on a single row",,,,1024,"On screens narrower than 1024 pixels, the four left-side elements do not fit on a single row. The solution is two stacked rows: [@body[234]]",auto-atomized from A-000243 (paragraph); seg 1/2; tipo heuristic
CA-00293,A-000243,v4.1,,Part 4 -Global Rules,Rule 2,Rule 2 - Mobile header structure,regla,Rule 2,The solution is two stacked rows:,,,,,"On screens narrower than 1024 pixels, the four left-side elements do not fit on a single row. The solution is two stacked rows: [@body[234]]",auto-atomized from A-000243 (paragraph); seg 2/2; tipo heuristic
CA-00294,A-000244,v4.1,,Part 4 -Global Rules,"Row1(header,56px):","Row1(header,56px):",cifra,"Row1(header,56px):","Row1(header,56px):",,,,1; 56px,"Row1(header,56px): [@body[236]/Heading4]",auto-atomized from A-000244 (heading); seg 1/1; tipo heuristic
CA-00295,A-000245,v4.1,,Part 4 -Global Rules,"Row1(header,56px):","Row1(header,56px):",regla,"Row1(header,56px):",[SW logo],,,,,[SW logo] [@body[236]/txbx[0]/p[0]],auto-atomized from A-000245 (textbox_paragraph); seg 1/1; tipo heuristic
CA-00296,A-000246,v4.1,,Part 4 -Global Rules,"Row1(header,56px):","Row1(header,56px):",cifra,"Row1(header,56px):","Row 2 (editorial strip, 44 px):",,,,2; 44 px,"Row 2 (editorial strip, 44 px): [@body[237]]",auto-atomized from A-000246 (paragraph); seg 1/1; tipo heuristic
CA-00297,A-000247,v4.1,,Part 4 -Global Rules,"Row1(header,56px):","Row1(header,56px):",regla,"Row1(header,56px):",and [Agenda tu visita].,,,,,and [Agenda tu visita]. [@body[238]],auto-atomized from A-000247 (paragraph); seg 1/1; tipo heuristic
CA-00298,A-000248,v4.1,,Part 4 -Global Rules,"Row1(header,56px):","Row1(header,56px):",regla,"Row1(header,56px):",.,,,,,. [@body[239]],auto-atomized from A-000248 (paragraph); seg 1/1; tipo heuristic
CA-00299,A-000249,v4.1,,Part 4 -Global Rules,"Row1(header,56px):","Row1(header,56px):",regla,"Row1(header,56px):",Tu Spa rtsWorld • Disena • BES,,,,,Tu Spa rtsWorld  •  Disena  •  BES [@body[239]/txbx[0]/p[0]],auto-atomized from A-000249 (textbox_paragraph); seg 1/1; tipo heuristic
CA-00300,A-000250,v4.1,,Part 4 -Global Rules,"Row1(header,56px):","Row1(header,56px):",regla,"Row1(header,56px):",The labels shorten according to the available width:,,,,,The labels shorten according to the available width: [@body[242]],auto-atomized from A-000250 (paragraph); seg 1/1; tipo heuristic
CA-00301,A-000251,v4.1,,Part 4 -Global Rules,"Row1(header,56px):","Row1(header,56px):",regla,"Row1(header,56px):",Screen widthLabels shown,,,,,Screen widthLabels shown [@body[244]],auto-atomized from A-000251 (paragraph); seg 1/1; tipo heuristic
CA-00302,A-000252,v4.1,,Part 4 -Global Rules,"Row1(header,56px):","Row1(header,56px):",cifra,"Row1(header,56px):",1024 px and up (desktop),,,,1024 px,1024 px and up (desktop) [@body[248]],auto-atomized from A-000252 (paragraph); seg 1/1; tipo heuristic
