claim_id,unit_id,documento,pagina,seccion,tema,subtema,tipo_de_afirmacion,sujeto,afirmacion_normalizada,condiciones,excepciones,periodo,cifra_o_unidad,cita_textual,observaciones,taxonomia_nodo
CB-00076,B-000013,spec,,Spec §3.1 Base 16 questions,Q13,Q13 Companion-Self,definicion,Q13,"Q13 option: Acompañado/Acompañada, en clases o grupo",,,,13,"Q13 (Companion-Self) — Question: ¿Prefieres entrenar solo o acompañado? | Type: single, required | Options/Field: Solo/Sola, a mi ritmo · Acompañado/Acompañada, en clases o grupo · Me da igual [@prompt §3.1]",spec option (split),T10
CB-00077,B-000013,spec,,Spec §3.1 Base 16 questions,Q13,Q13 Companion-Self,definicion,Q13,Q13 option: Me da igual,,,,13,"Q13 (Companion-Self) — Question: ¿Prefieres entrenar solo o acompañado? | Type: single, required | Options/Field: Solo/Sola, a mi ritmo · Acompañado/Acompañada, en clases o grupo · Me da igual [@prompt §3.1]",spec option (split),T10
CB-00078,B-000014,spec,,Spec §3.1 Base 16 questions,Q14,Q14 Companion-Visit,requisito,Q14,Q14 question copy: ¿Con quién nos visitas en el club?,,,,14,"Q14 (Companion-Visit) — Question: ¿Con quién nos visitas en el club? | Type: single, required | Options/Field: Solo/Sola, es mi momento · Con mi amigo/a · Con mi pareja · Yo y mis hijos · La familia completa [@prompt §3.1]",spec question copy,T10
CB-00079,B-000014,spec,,Spec §3.1 Base 16 questions,Q14,Q14 Companion-Visit,regla,Q14,"Q14 type: single, required",,,,14,"Q14 (Companion-Visit) — Question: ¿Con quién nos visitas en el club? | Type: single, required | Options/Field: Solo/Sola, es mi momento · Con mi amigo/a · Con mi pareja · Yo y mis hijos · La familia completa [@prompt §3.1]",spec field type/validation,T10
CB-00080,B-000014,spec,,Spec §3.1 Base 16 questions,Q14,Q14 Companion-Visit,definicion,Q14,"Q14 option: Solo/Sola, es mi momento",,,,14,"Q14 (Companion-Visit) — Question: ¿Con quién nos visitas en el club? | Type: single, required | Options/Field: Solo/Sola, es mi momento · Con mi amigo/a · Con mi pareja · Yo y mis hijos · La familia completa [@prompt §3.1]",spec option (split),T10
CB-00081,B-000014,spec,,Spec §3.1 Base 16 questions,Q14,Q14 Companion-Visit,definicion,Q14,Q14 option: Con mi amigo/a,,,,14,"Q14 (Companion-Visit) — Question: ¿Con quién nos visitas en el club? | Type: single, required | Options/Field: Solo/Sola, es mi momento · Con mi amigo/a · Con mi pareja · Yo y mis hijos · La familia completa [@prompt §3.1]",spec option (split),T10
CB-00082,B-000014,spec,,Spec §3.1 Base 16 questions,Q14,Q14 Companion-Visit,definicion,Q14,Q14 option: Con mi pareja,,,,14,"Q14 (Companion-Visit) — Question: ¿Con quién nos visitas en el club? | Type: single, required | Options/Field: Solo/Sola, es mi momento · Con mi amigo/a · Con mi pareja · Yo y mis hijos · La familia completa [@prompt §3.1]",spec option (split),T10
CB-00083,B-000014,spec,,Spec §3.1 Base 16 questions,Q14,Q14 Companion-Visit,definicion,Q14,Q14 option: Yo y mis hijos,,,,14,"Q14 (Companion-Visit) — Question: ¿Con quién nos visitas en el club? | Type: single, required | Options/Field: Solo/Sola, es mi momento · Con mi amigo/a · Con mi pareja · Yo y mis hijos · La familia completa [@prompt §3.1]",spec option (split),T10
CB-00084,B-000014,spec,,Spec §3.1 Base 16 questions,Q14,Q14 Companion-Visit,definicion,Q14,Q14 option: La familia completa,,,,14,"Q14 (Companion-Visit) — Question: ¿Con quién nos visitas en el club? | Type: single, required | Options/Field: Solo/Sola, es mi momento · Con mi amigo/a · Con mi pareja · Yo y mis hijos · La familia completa [@prompt §3.1]",spec option (split),T10
CB-00085,B-000015,spec,,Spec §3.1 Base 16 questions,Q15,Q15 GeoIntent,requisito,Q15,Q15 question copy: ¿Buscas el gimnasio cerca de tu casa o de tu trabajo?,,,,15,"Q15 (GeoIntent) — Question: ¿Buscas el gimnasio cerca de tu casa o de tu trabajo? | Type: single, required | Options/Field: Cerca de mi casa · Cerca de mi trabajo · Ambos · No me importa [@prompt §3.1]",spec question copy,T10
CB-00086,B-000015,spec,,Spec §3.1 Base 16 questions,Q15,Q15 GeoIntent,regla,Q15,"Q15 type: single, required",,,,15,"Q15 (GeoIntent) — Question: ¿Buscas el gimnasio cerca de tu casa o de tu trabajo? | Type: single, required | Options/Field: Cerca de mi casa · Cerca de mi trabajo · Ambos · No me importa [@prompt §3.1]",spec field type/validation,T10
CB-00087,B-000015,spec,,Spec §3.1 Base 16 questions,Q15,Q15 GeoIntent,definicion,Q15,Q15 option: Cerca de mi casa,,,,15,"Q15 (GeoIntent) — Question: ¿Buscas el gimnasio cerca de tu casa o de tu trabajo? | Type: single, required | Options/Field: Cerca de mi casa · Cerca de mi trabajo · Ambos · No me importa [@prompt §3.1]",spec option (split),T10
CB-00088,B-000015,spec,,Spec §3.1 Base 16 questions,Q15,Q15 GeoIntent,definicion,Q15,Q15 option: Cerca de mi trabajo,,,,15,"Q15 (GeoIntent) — Question: ¿Buscas el gimnasio cerca de tu casa o de tu trabajo? | Type: single, required | Options/Field: Cerca de mi casa · Cerca de mi trabajo · Ambos · No me importa [@prompt §3.1]",spec option (split),T10
CB-00089,B-000015,spec,,Spec §3.1 Base 16 questions,Q15,Q15 GeoIntent,definicion,Q15,Q15 option: Ambos,,,,15,"Q15 (GeoIntent) — Question: ¿Buscas el gimnasio cerca de tu casa o de tu trabajo? | Type: single, required | Options/Field: Cerca de mi casa · Cerca de mi trabajo · Ambos · No me importa [@prompt §3.1]",spec option (split),T10
CB-00090,B-000015,spec,,Spec §3.1 Base 16 questions,Q15,Q15 GeoIntent,definicion,Q15,Q15 option: No me importa,,,,15,"Q15 (GeoIntent) — Question: ¿Buscas el gimnasio cerca de tu casa o de tu trabajo? | Type: single, required | Options/Field: Cerca de mi casa · Cerca de mi trabajo · Ambos · No me importa [@prompt §3.1]",spec option (split),T10
CB-00091,B-000016,spec,,Spec §3.1 Base 16 questions,Q16,Q16 Location,requisito,Q16,Q16 question copy: ¿Dónde queda?,,,,16,"Q16 (Location) — Question: ¿Dónde queda? | Type: two fields, exactly one required (XOR) | Options/Field: Field A: Código postal (5 digits numeric) · Field B: Colonia (free text). At least one must be present; both filled is acceptable. [@prompt §3.1]",spec question copy,T13
CB-00092,B-000016,spec,,Spec §3.1 Base 16 questions,Q16,Q16 Location,regla,Q16,"Q16 type: two fields, exactly one required (XOR)",,,,16,"Q16 (Location) — Question: ¿Dónde queda? | Type: two fields, exactly one required (XOR) | Options/Field: Field A: Código postal (5 digits numeric) · Field B: Colonia (free text). At least one must be present; both filled is acceptable. [@prompt §3.1]",spec field type/validation,T13
CB-00093,B-000016,spec,,Spec §3.1 Base 16 questions,Q16,Q16 Location,definicion,Q16,Q16 option: Field A: Código postal (5 digits numeric),,,,16; 5,"Q16 (Location) — Question: ¿Dónde queda? | Type: two fields, exactly one required (XOR) | Options/Field: Field A: Código postal (5 digits numeric) · Field B: Colonia (free text). At least one must be present; both filled is acceptable. [@prompt §3.1]",spec option (split),T13
CB-00094,B-000016,spec,,Spec §3.1 Base 16 questions,Q16,Q16 Location,definicion,Q16,Q16 option: Field B: Colonia (free text). At least one must be present; both filled is acceptable.,,,,16,"Q16 (Location) — Question: ¿Dónde queda? | Type: two fields, exactly one required (XOR) | Options/Field: Field A: Código postal (5 digits numeric) · Field B: Colonia (free text). At least one must be present; both filled is acceptable. [@prompt §3.1]",spec option (split),T13
CB-00095,B-000017,spec,,Spec §3.1 Base 16 questions,gender-concordance,"Gender concordance (Q13,Q14)",rule,gender-concordance,"Gender concordance rule (applies to Q13 and Q14): If Q2 = 'Mujer', render feminine forms ('Sola','Acompañada'). If Q2 = 'Hombre' or 'Prefiero no mencionarlo', render masculine forms ('Solo','Acompañado') as default.","Gender concordance rule (applies to Q13 and Q14): If Q2 = 'Mujer', render feminine forms ('Sola','Acompañada'). If Q2 = 'Hombre' or 'Prefiero no mencionarlo', render masculine forms ('Solo','Acompañado') as default.",,,13; 14; 2; 2,"Gender concordance rule (applies to Q13 and Q14): If Q2 = 'Mujer', render feminine forms ('Sola','Acompañada'). If Q2 = 'Hombre' or 'Prefiero no mencionarlo', render masculine forms ('Solo','Acompañado') as default. [@prompt §3.1]",spec unit→claim,T14
CB-00096,B-000018,spec,,Spec §3.2 Weight-loss optionals,WL-trigger,WL visibility,rule,WL-trigger,Weight-loss optionals visible only if Q4 includes 'Bajar de peso'. Appended after Q16.,Weight-loss optionals visible only if Q4 includes 'Bajar de peso'. Appended after Q16.,,,4; 16.,Weight-loss optionals visible only if Q4 includes 'Bajar de peso'. Appended after Q16. [@prompt §3.2],spec unit→claim,T27
CB-00097,B-000019,spec,,Spec §3.2 Weight-loss optionals,Q17,Q17 WL-Health,requisito,Q17,Q17 question copy: Cuéntanos sobre tu salud actual,,,,17,"Q17 (WL-Health) — Question: Cuéntanos sobre tu salud actual | Type: multi, optional | Options/Field: Tomo medicamentos GLP-1 (Ozempic, Wegovy, Mounjaro) · He tenido cirugía bariátrica · Estoy bajo tratamiento médico actualmente · Estoy embarazada o en posparto (visible only if Q2 = Mujer) · Tengo hipertensión · Tengo diabetes · Ninguna de las anteriores (exclusive) [@prompt §3.2]",spec question copy,T10
CB-00098,B-000019,spec,,Spec §3.2 Weight-loss optionals,Q17,Q17 WL-Health,regla,Q17,"Q17 type: multi, optional",,,,17,"Q17 (WL-Health) — Question: Cuéntanos sobre tu salud actual | Type: multi, optional | Options/Field: Tomo medicamentos GLP-1 (Ozempic, Wegovy, Mounjaro) · He tenido cirugía bariátrica · Estoy bajo tratamiento médico actualmente · Estoy embarazada o en posparto (visible only if Q2 = Mujer) · Tengo hipertensión · Tengo diabetes · Ninguna de las anteriores (exclusive) [@prompt §3.2]",spec field type/validation,T10
CB-00099,B-000019,spec,,Spec §3.2 Weight-loss optionals,Q17,Q17 WL-Health,definicion,Q17,"Q17 option: Tomo medicamentos GLP-1 (Ozempic, Wegovy, Mounjaro)",,,,17; 1,"Q17 (WL-Health) — Question: Cuéntanos sobre tu salud actual | Type: multi, optional | Options/Field: Tomo medicamentos GLP-1 (Ozempic, Wegovy, Mounjaro) · He tenido cirugía bariátrica · Estoy bajo tratamiento médico actualmente · Estoy embarazada o en posparto (visible only if Q2 = Mujer) · Tengo hipertensión · Tengo diabetes · Ninguna de las anteriores (exclusive) [@prompt §3.2]",spec option (split),T10
CB-00100,B-000019,spec,,Spec §3.2 Weight-loss optionals,Q17,Q17 WL-Health,definicion,Q17,Q17 option: He tenido cirugía bariátrica,,,,17,"Q17 (WL-Health) — Question: Cuéntanos sobre tu salud actual | Type: multi, optional | Options/Field: Tomo medicamentos GLP-1 (Ozempic, Wegovy, Mounjaro) · He tenido cirugía bariátrica · Estoy bajo tratamiento médico actualmente · Estoy embarazada o en posparto (visible only if Q2 = Mujer) · Tengo hipertensión · Tengo diabetes · Ninguna de las anteriores (exclusive) [@prompt §3.2]",spec option (split),T10
CB-00101,B-000019,spec,,Spec §3.2 Weight-loss optionals,Q17,Q17 WL-Health,definicion,Q17,Q17 option: Estoy bajo tratamiento médico actualmente,,,,17,"Q17 (WL-Health) — Question: Cuéntanos sobre tu salud actual | Type: multi, optional | Options/Field: Tomo medicamentos GLP-1 (Ozempic, Wegovy, Mounjaro) · He tenido cirugía bariátrica · Estoy bajo tratamiento médico actualmente · Estoy embarazada o en posparto (visible only if Q2 = Mujer) · Tengo hipertensión · Tengo diabetes · Ninguna de las anteriores (exclusive) [@prompt §3.2]",spec option (split),T10
CB-00102,B-000019,spec,,Spec §3.2 Weight-loss optionals,Q17,Q17 WL-Health,definicion,Q17,Q17 option: Estoy embarazada o en posparto (visible only if Q2 = Mujer),Q17 option: Estoy embarazada o en posparto (visible only if Q2 = Mujer),,,17; 2,"Q17 (WL-Health) — Question: Cuéntanos sobre tu salud actual | Type: multi, optional | Options/Field: Tomo medicamentos GLP-1 (Ozempic, Wegovy, Mounjaro) · He tenido cirugía bariátrica · Estoy bajo tratamiento médico actualmente · Estoy embarazada o en posparto (visible only if Q2 = Mujer) · Tengo hipertensión · Tengo diabetes · Ninguna de las anteriores (exclusive) [@prompt §3.2]",spec option (split),T10
CB-00103,B-000019,spec,,Spec §3.2 Weight-loss optionals,Q17,Q17 WL-Health,definicion,Q17,Q17 option: Tengo hipertensión,,,,17,"Q17 (WL-Health) — Question: Cuéntanos sobre tu salud actual | Type: multi, optional | Options/Field: Tomo medicamentos GLP-1 (Ozempic, Wegovy, Mounjaro) · He tenido cirugía bariátrica · Estoy bajo tratamiento médico actualmente · Estoy embarazada o en posparto (visible only if Q2 = Mujer) · Tengo hipertensión · Tengo diabetes · Ninguna de las anteriores (exclusive) [@prompt §3.2]",spec option (split),T10
CB-00104,B-000019,spec,,Spec §3.2 Weight-loss optionals,Q17,Q17 WL-Health,definicion,Q17,Q17 option: Tengo diabetes,,,,17,"Q17 (WL-Health) — Question: Cuéntanos sobre tu salud actual | Type: multi, optional | Options/Field: Tomo medicamentos GLP-1 (Ozempic, Wegovy, Mounjaro) · He tenido cirugía bariátrica · Estoy bajo tratamiento médico actualmente · Estoy embarazada o en posparto (visible only if Q2 = Mujer) · Tengo hipertensión · Tengo diabetes · Ninguna de las anteriores (exclusive) [@prompt §3.2]",spec option (split),T10
CB-00105,B-000019,spec,,Spec §3.2 Weight-loss optionals,Q17,Q17 WL-Health,definicion,Q17,Q17 option: Ninguna de las anteriores (exclusive),,Q17 option: Ninguna de las anteriores (exclusive),,17,"Q17 (WL-Health) — Question: Cuéntanos sobre tu salud actual | Type: multi, optional | Options/Field: Tomo medicamentos GLP-1 (Ozempic, Wegovy, Mounjaro) · He tenido cirugía bariátrica · Estoy bajo tratamiento médico actualmente · Estoy embarazada o en posparto (visible only if Q2 = Mujer) · Tengo hipertensión · Tengo diabetes · Ninguna de las anteriores (exclusive) [@prompt §3.2]",spec option (split),T10
CB-00106,B-000020,spec,,Spec §3.2 Weight-loss optionals,Q18,Q18 WL-Physical,requisito,Q18,Q18 question copy: Tus datos físicos actuales,,,,18,"Q18 (WL-Physical) — Question: Tus datos físicos actuales | Type: numeric, 3 fields, required | Options/Field: Peso kg (30–300) · Altura cm (120–230) · Edad años (15–90). Help: 'Esta información permite construir un plan seguro. Se almacena bajo consentimiento LFPDPPP.' [@prompt §3.2]",spec question copy,T10
CB-00107,B-000020,spec,,Spec §3.2 Weight-loss optionals,Q18,Q18 WL-Physical,regla,Q18,"Q18 type: numeric, 3 fields, required",,,,18; 3,"Q18 (WL-Physical) — Question: Tus datos físicos actuales | Type: numeric, 3 fields, required | Options/Field: Peso kg (30–300) · Altura cm (120–230) · Edad años (15–90). Help: 'Esta información permite construir un plan seguro. Se almacena bajo consentimiento LFPDPPP.' [@prompt §3.2]",spec field type/validation,T10
CB-00108,B-000020,spec,,Spec §3.2 Weight-loss optionals,Q18,Q18 WL-Physical,definicion,Q18,Q18 option: Peso kg (30–300),,,,18; 30–300,"Q18 (WL-Physical) — Question: Tus datos físicos actuales | Type: numeric, 3 fields, required | Options/Field: Peso kg (30–300) · Altura cm (120–230) · Edad años (15–90). Help: 'Esta información permite construir un plan seguro. Se almacena bajo consentimiento LFPDPPP.' [@prompt §3.2]",spec option (split),T10
CB-00109,B-000020,spec,,Spec §3.2 Weight-loss optionals,Q18,Q18 WL-Physical,definicion,Q18,Q18 option: Altura cm (120–230),,,,18; 120–230,"Q18 (WL-Physical) — Question: Tus datos físicos actuales | Type: numeric, 3 fields, required | Options/Field: Peso kg (30–300) · Altura cm (120–230) · Edad años (15–90). Help: 'Esta información permite construir un plan seguro. Se almacena bajo consentimiento LFPDPPP.' [@prompt §3.2]",spec option (split),T10
CB-00110,B-000020,spec,,Spec §3.2 Weight-loss optionals,Q18,Q18 WL-Physical,definicion,Q18,Q18 option: Edad años (15–90). Help: 'Esta información permite construir un plan seguro. Se almacena bajo consentimiento LFPDPPP.',,,,18; 15–90,"Q18 (WL-Physical) — Question: Tus datos físicos actuales | Type: numeric, 3 fields, required | Options/Field: Peso kg (30–300) · Altura cm (120–230) · Edad años (15–90). Help: 'Esta información permite construir un plan seguro. Se almacena bajo consentimiento LFPDPPP.' [@prompt §3.2]",spec option (split),T10
CB-00111,B-000021,spec,,Spec §3.2 Weight-loss optionals,Q19,Q19 WL-ChangeGoal,requisito,Q19,Q19 question copy: ¿Cuál es tu objetivo de cambio?,,,,19,"Q19 (WL-ChangeGoal) — Question: ¿Cuál es tu objetivo de cambio? | Type: single, required | Options/Field: 1 a 3 kilos · 3 a 6 kilos · 6 a 10 kilos · 10 a 15 kilos · Más de 15 kilos · Sin un número específico. Help: 'Sin promesas clínicas — los rangos son referencia, no compromiso.' [@prompt §3.2]",spec question copy,T10
CB-00112,B-000021,spec,,Spec §3.2 Weight-loss optionals,Q19,Q19 WL-ChangeGoal,regla,Q19,"Q19 type: single, required",,,,19,"Q19 (WL-ChangeGoal) — Question: ¿Cuál es tu objetivo de cambio? | Type: single, required | Options/Field: 1 a 3 kilos · 3 a 6 kilos · 6 a 10 kilos · 10 a 15 kilos · Más de 15 kilos · Sin un número específico. Help: 'Sin promesas clínicas — los rangos son referencia, no compromiso.' [@prompt §3.2]",spec field type/validation,T10
CB-00113,B-000021,spec,,Spec §3.2 Weight-loss optionals,Q19,Q19 WL-ChangeGoal,definicion,Q19,Q19 option: 1 a 3 kilos,,,,19; 1; 3,"Q19 (WL-ChangeGoal) — Question: ¿Cuál es tu objetivo de cambio? | Type: single, required | Options/Field: 1 a 3 kilos · 3 a 6 kilos · 6 a 10 kilos · 10 a 15 kilos · Más de 15 kilos · Sin un número específico. Help: 'Sin promesas clínicas — los rangos son referencia, no compromiso.' [@prompt §3.2]",spec option (split),T10
CB-00114,B-000021,spec,,Spec §3.2 Weight-loss optionals,Q19,Q19 WL-ChangeGoal,definicion,Q19,Q19 option: 3 a 6 kilos,,,,19; 3; 6,"Q19 (WL-ChangeGoal) — Question: ¿Cuál es tu objetivo de cambio? | Type: single, required | Options/Field: 1 a 3 kilos · 3 a 6 kilos · 6 a 10 kilos · 10 a 15 kilos · Más de 15 kilos · Sin un número específico. Help: 'Sin promesas clínicas — los rangos son referencia, no compromiso.' [@prompt §3.2]",spec option (split),T10
CB-00115,B-000021,spec,,Spec §3.2 Weight-loss optionals,Q19,Q19 WL-ChangeGoal,definicion,Q19,Q19 option: 6 a 10 kilos,,,,19; 6; 10,"Q19 (WL-ChangeGoal) — Question: ¿Cuál es tu objetivo de cambio? | Type: single, required | Options/Field: 1 a 3 kilos · 3 a 6 kilos · 6 a 10 kilos · 10 a 15 kilos · Más de 15 kilos · Sin un número específico. Help: 'Sin promesas clínicas — los rangos son referencia, no compromiso.' [@prompt §3.2]",spec option (split),T10
CB-00116,B-000021,spec,,Spec §3.2 Weight-loss optionals,Q19,Q19 WL-ChangeGoal,definicion,Q19,Q19 option: 10 a 15 kilos,,,,19; 10; 15,"Q19 (WL-ChangeGoal) — Question: ¿Cuál es tu objetivo de cambio? | Type: single, required | Options/Field: 1 a 3 kilos · 3 a 6 kilos · 6 a 10 kilos · 10 a 15 kilos · Más de 15 kilos · Sin un número específico. Help: 'Sin promesas clínicas — los rangos son referencia, no compromiso.' [@prompt §3.2]",spec option (split),T10
CB-00117,B-000021,spec,,Spec §3.2 Weight-loss optionals,Q19,Q19 WL-ChangeGoal,definicion,Q19,Q19 option: Más de 15 kilos,,,,19; 15,"Q19 (WL-ChangeGoal) — Question: ¿Cuál es tu objetivo de cambio? | Type: single, required | Options/Field: 1 a 3 kilos · 3 a 6 kilos · 6 a 10 kilos · 10 a 15 kilos · Más de 15 kilos · Sin un número específico. Help: 'Sin promesas clínicas — los rangos son referencia, no compromiso.' [@prompt §3.2]",spec option (split),T10
CB-00118,B-000021,spec,,Spec §3.2 Weight-loss optionals,Q19,Q19 WL-ChangeGoal,definicion,Q19,"Q19 option: Sin un número específico. Help: 'Sin promesas clínicas — los rangos son referencia, no compromiso.'",,,,19,"Q19 (WL-ChangeGoal) — Question: ¿Cuál es tu objetivo de cambio? | Type: single, required | Options/Field: 1 a 3 kilos · 3 a 6 kilos · 6 a 10 kilos · 10 a 15 kilos · Más de 15 kilos · Sin un número específico. Help: 'Sin promesas clínicas — los rangos son referencia, no compromiso.' [@prompt §3.2]",spec option (split),T10
CB-00119,B-000022,spec,,Spec §3.2 Weight-loss optionals,YMYL,YMYL trigger,rule,YMYL,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi estética corporal' does NOT trigger this variant (no YMYL).","When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi estética corporal' does NOT trigger this variant (no YMYL).","When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi estética corporal' does NOT trigger this variant (no YMYL).",,4; 4,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi estética corporal' does NOT trigger this variant (no YMYL). [@prompt §3.2]",spec unit→claim,T27
CB-00120,B-000023,spec,,Spec §3.3 Question count summary,PathA,PathA,cifra,PathA,"Path A (no weight loss, no pause): 16 questions visible.",,,,16,"Path A (no weight loss, no pause): 16 questions visible. [@prompt §3.3]",spec unit→claim,T15
CB-00121,B-000024,spec,,Spec §3.3 Question count summary,PathB,PathB,cifra,PathB,Path B (pause from gym): 17 questions visible (Q1–Q16 + Q11 active).,,,,17; 1–Q16; 11,Path B (pause from gym): 17 questions visible (Q1–Q16 + Q11 active). [@prompt §3.3],spec unit→claim,T15
CB-00122,B-000025,spec,,Spec §3.3 Question count summary,PathC,PathC,cifra,PathC,"Path C (weight loss, no pause): 19 questions visible (Q1–Q16 + Q17–Q19).",,,,19; 1–Q16; 17–Q19,"Path C (weight loss, no pause): 19 questions visible (Q1–Q16 + Q17–Q19). [@prompt §3.3]",spec unit→claim,T15
CB-00123,B-000026,spec,,Spec §3.3 Question count summary,PathD,PathD,cifra,PathD,Path D (weight loss + pause): 20 questions visible (Q1–Q16 + Q11 + Q17–Q19).,,,,20; 1–Q16; 11; 17–Q19,Path D (weight loss + pause): 20 questions visible (Q1–Q16 + Q11 + Q17–Q19). [@prompt §3.3],spec unit→claim,T15
CB-00124,B-000027,spec,,Spec §4 4.1 entrenamiento-con-pesas-individual,entrenamiento-con-pesas-individual,page,definicion,entrenamiento-con-pesas-individual,"New top-level page 'entrenamiento-con-pesas-individual' with 4 subgroups (Fuerza, Hipertrofia, Potencia, Resistencia muscular), derived from ACSM Position Stand 2026 (Currier BS et al., Med Sci Sports Exerc 2026, DOI 10.1249/MSS.0000000000003897). Add to Part 3 IA and Part 5 subpage matrices.",,,,4; 2026; 2026; 10.1249/MSS.0000000000003897; 3; 5,"New top-level page 'entrenamiento-con-pesas-individual' with 4 subgroups (Fuerza, Hipertrofia, Potencia, Resistencia muscular), derived from ACSM Position Stand 2026 (Currier BS et al., Med Sci Sports Exerc 2026, DOI 10.1249/MSS.0000000000003897). Add to Part 3 IA and Part 5 subpage matrices. [@prompt §4.1]",spec unit→claim,T25
CB-00125,B-000028,spec,,Spec §4 4.1 entrenamiento-con-pesas-individual,Fuerza,Fuerza,definicion,Fuerza,Subgroup Fuerza — URL slug: /entrenamiento-con-pesas-individual/fuerza,,,,,Subgroup Fuerza — URL slug: /entrenamiento-con-pesas-individual/fuerza [@prompt §4],spec unit→claim,T25
CB-00126,B-000029,spec,,Spec §4 4.1 entrenamiento-con-pesas-individual,Fuerza,Fuerza,recomendacion,Fuerza,"Fuerza — Tagline (ES MX): Mover más peso, con técnica sólida.",,,,,"Fuerza — Tagline (ES MX): Mover más peso, con técnica sólida. [@prompt §4]",spec unit→claim,T25
CB-00127,B-000030,spec,,Spec §4 4.1 entrenamiento-con-pesas-individual,Fuerza,Fuerza,requisito,Fuerza,"Fuerza — Prescription: Carga ≥80% 1RM · 2–3 series por ejercicio · 1–5 repeticiones · 2–5 min de descanso entre series · 2–3 sesiones por semana · ejercicios compuestos al inicio de la sesión, rango de movimiento completo.",,,,80%; 1RM; 2–3; 1–5; 2–5; 2–3,"Fuerza — Prescription: Carga ≥80% 1RM · 2–3 series por ejercicio · 1–5 repeticiones · 2–5 min de descanso entre series · 2–3 sesiones por semana · ejercicios compuestos al inicio de la sesión, rango de movimiento completo. [@prompt §4]",spec unit→claim,T25
CB-00128,B-000031,spec,,Spec §4 4.1 entrenamiento-con-pesas-individual,Fuerza,Fuerza,requisito,Fuerza,"Fuerza — Equipment: Pesas libres: barras olímpicas con discos, mancuernas de carga media-alta, kettlebells. Soporte: racks de potencia, bancas de press (planas, inclinadas y declinadas). Máquinas: Smith machine (press y sentadilla con seguridad), hack squat, prensa de pierna pesada. Accesorios: cinturones de levantamiento, muñequeras, magnesio.",,,,,"Fuerza — Equipment: Pesas libres: barras olímpicas con discos, mancuernas de carga media-alta, kettlebells. Soporte: racks de potencia, bancas de press (planas, inclinadas y declinadas). Máquinas: Smith machine (press y sentadilla con seguridad), hack squat, prensa de pierna pesada. Accesorios: cinturones de levantamiento, muñequeras, magnesio. [@prompt §4]",spec unit→claim,T25
CB-00129,B-000032,spec,,Spec §4 4.1 entrenamiento-con-pesas-individual,Fuerza,Fuerza,definicion,Fuerza,"Fuerza — Representative exercises: Sentadilla con barra, peso muerto convencional, peso muerto sumo, press de banca, press militar (de pie), dominadas con peso adicional, remo con barra, hip thrust pesado.",,,,,"Fuerza — Representative exercises: Sentadilla con barra, peso muerto convencional, peso muerto sumo, press de banca, press militar (de pie), dominadas con peso adicional, remo con barra, hip thrust pesado. [@prompt §4]",spec unit→claim,T25
CB-00130,B-000033,spec,,Spec §4 4.1 entrenamiento-con-pesas-individual,Fuerza,Fuerza,recomendacion,Fuerza,Fuerza — Primary benefits: Aumento de fuerza máxima absoluta · incremento de densidad mineral ósea · base neuromuscular para el desarrollo de potencia · mejor postura y fuerza funcional para actividades de la vida diaria · prevención de sarcopenia.,,,,,Fuerza — Primary benefits: Aumento de fuerza máxima absoluta · incremento de densidad mineral ósea · base neuromuscular para el desarrollo de potencia · mejor postura y fuerza funcional para actividades de la vida diaria · prevención de sarcopenia. [@prompt §4],spec unit→claim,T25
CB-00131,B-000034,spec,,Spec §4 4.1 entrenamiento-con-pesas-individual,Fuerza,Fuerza,recomendacion,Fuerza,"Fuerza — Ideal user profile: Nivel Intermedio o Avanzado · personas que ya dominan la técnica de los compuestos básicos · objetivos de fuerza pura, rendimiento atlético o desarrollo de base de potencia.",,,,,"Fuerza — Ideal user profile: Nivel Intermedio o Avanzado · personas que ya dominan la técnica de los compuestos básicos · objetivos de fuerza pura, rendimiento atlético o desarrollo de base de potencia. [@prompt §4]",spec unit→claim,T25
CB-00132,B-000035,spec,,Spec §4 4.1 entrenamiento-con-pesas-individual,Fuerza,Fuerza,excepcion,Fuerza,Fuerza — Cautions: Principiantes deben pasar primero por Hipertrofia o Resistencia muscular para construir técnica · contraindicado con lesión articular activa o condiciones cardiovasculares no estabilizadas · requiere supervisión inicial.,,,,,Fuerza — Cautions: Principiantes deben pasar primero por Hipertrofia o Resistencia muscular para construir técnica · contraindicado con lesión articular activa o condiciones cardiovasculares no estabilizadas · requiere supervisión inicial. [@prompt §4],spec unit→claim,T25
CB-00133,B-000036,spec,,Spec §4 4.1 entrenamiento-con-pesas-individual,Hipertrofia,Hipertrofia,definicion,Hipertrofia,Subgroup Hipertrofia — URL slug: /entrenamiento-con-pesas-individual/hipertrofia,,,,,Subgroup Hipertrofia — URL slug: /entrenamiento-con-pesas-individual/hipertrofia [@prompt §4],spec unit→claim,T25
