mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00243,CA-00711,CB-00196,REQUIERE_REEMPLAZO,false,alta,"In addition: if the user arrived via an external search with a specific location, P8 and P9 are pre-filled with the inferred location on any page where they apply.",body[627,"Landing 'Home': None from landing. Q3, Q4, or Q15 may be inferred from external search query per Rule 16. If external search includes location → pre-fill Q15 an",spec §5.2,"Replace pre-fill matrix with new Rule 20 (Q-codes, renamed Estética corporal hub, new individual-training landings)",Rule 20,full table replacement incl Tonificar->Estética corporal rename
M-00244,CA-00712,CB-00016,REQUIERE_EDIT,true,alta,Rule 21-Dual-goal selection only when one of them is weight loss,body[628]/Heading4,Q4 question copy: ¿Qué buscas?,spec Q4,Update: Q4 is always multi-select max 2 (drop weight-loss-only condition for dual goal),Rule 21,Legacy P1 was single-select yet Rule 21 allowed dual goal only with weight loss -> internal tension; resolved by Q4 multi max2. adjacent: see Rule 18 P1 Single-select.
M-00245,CA-00713,CB-00016,REQUIERE_EDIT,false,alta,P1 (goal) is single-select except when the user wants to add Ba jarde peso as a second goal,body[629,Q4 question copy: ¿Qué buscas?,spec Q4,Update: Q4 is always multi-select max 2 (drop weight-loss-only condition for dual goal),Rule 21,Q4 multi max2 always
M-00246,CA-00714,CB-00016,REQUIERE_EDIT,false,alta,"In that case, two goals can be selected: the primary one plus Ba jarde peso",body[629,Q4 question copy: ¿Qué buscas?,spec Q4,Update: Q4 is always multi-select max 2 (drop weight-loss-only condition for dual goal),Rule 21,Q4 multi max2 always
M-00247,CA-00715,CB-00016,REQUIERE_EDIT,false,alta,"In every other combination, P1 remains single-select.",body[629,Q4 question copy: ¿Qué buscas?,spec Q4,Update: Q4 is always multi-select max 2 (drop weight-loss-only condition for dual goal),Rule 21,Q4 multi max2 always
M-00248,CA-00724,,COMPATIBLE_NO_EDIT,false,alta,button - when it appears and how it behaves,body[636]/Heading4,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00249,CA-00725,,COMPATIBLE_NO_EDIT,false,alta,button appears in the contextual menu when:,body[637,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00250,CA-00726,,COMPATIBLE_NO_EDIT,false,alta,Tu Club ideal,body[637]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00251,CA-00727,,COMPATIBLE_NO_EDIT,false,alta,"The user is on a page that is not an individual club page, and",body[639,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00252,CA-00728,,COMPATIBLE_NO_EDIT,false,alta,The user is not inside their ideal-experience flow.,body[640,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00253,CA-00729,,COMPATIBLE_NO_EDIT,false,alta,"On individual club pages, Tu Club ideal does not appear because the user is already at a club.",body[641,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00254,CA-00730,,COMPATIBLE_NO_EDIT,false,alta,"Instead, 0tros clubes en tu ciudad (Other clubs in your city) or (Other clubs in the area) may appear, depending on Rule 24.",body[642,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00255,CA-00731,,COMPATIBLE_NO_EDIT,false,alta,0tros clubes en elarea,body[642]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00256,CA-00734,,COMPATIBLE_NO_EDIT,false,baja,"No location inferredThe system prompts the user with questionnaire questions PS and P9 (geography intent: home, work, school, other; then city/ neighborhood/ ZIP).",body[647,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00257,CA-00735,,COMPATIBLE_NO_EDIT,false,baja,Location inferred from The system presents PS and P9 pre-filled with the inferred location,body[649,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00258,CA-00736,,COMPATIBLE_NO_EDIT,false,baja,The user external searchcan confirm or change.,body[649,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00259,CA-00738,,COMPATIBLE_NO_EDIT,false,alta,Rule 24 -,body[655]/Heading4,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00260,CA-00739,,COMPATIBLE_NO_EDIT,false,alta,Otros clubes,body[655]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00261,CA-00740,,COMPATIBLE_NO_EDIT,false,alta,The,body[656,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00262,CA-00741,,COMPATIBLE_NO_EDIT,false,alta,0tros clubes,body[656]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00263,CA-00742,,COMPATIBLE_NO_EDIT,false,alta,on three factors:,body[657,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00264,CA-00743,,COMPATIBLE_NO_EDIT,false,alta,button - when it appears and how it behaves,body[658]/Heading4,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00265,CA-00744,,COMPATIBLE_NO_EDIT,false,alta,button only appears on individual club pages,body[659,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00266,CA-00745,,COMPATIBLE_NO_EDIT,false,alta,Its label and behavior depend,body[659,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00267,CA-00754,,COMPATIBLE_NO_EDIT,false,baja,Factor 2 - Whether the user has already explicitly chosen a club via the questionnaire,body[672,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00268,CA-00755,,COMPATIBLE_NO_EDIT,false,baja,Factor 3,body[672,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00269,CA-00757,,COMPATIBLE_NO_EDIT,false,alta,Button behavior:,body[674]/Heading4,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00270,CA-00758,,COMPATIBLE_NO_EDIT,false,alta,City typeUser state,body[677,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00271,CA-00759,,COMPATIBLE_NO_EDIT,false,alta,( CIUDAD-Any,body[679,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00272,CA-00760,,COMPATIBLE_NO_EDIT,false,alta,:D,body[680,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00273,CA-00761,,COMPATIBLE_NO_EDIT,false,alta,Button labelAction on press,body[681,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00274,CA-00762,,COMPATIBLE_NO_EDIT,false,alta,The button does not appear,body[683,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00275,CA-00763,,COMPATIBLE_NO_EDIT,false,alta,(CIUDAD-POCOS],body[689,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00276,CA-00764,,COMPATIBLE_NO_EDIT,false,alta,(CIUDAD-,body[692,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00277,CA-00765,,COMPATIBLE_NO_EDIT,false,alta,ZMVM),body[693,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00278,CA-00766,,COMPATIBLE_NO_EDIT,false,alta,Any,body[694,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00279,CA-00767,,COMPATIBLE_NO_EDIT,false,alta,"User has a club identified (by landing, by selection, or by inference)",body[699,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00280,CA-00768,,COMPATIBLE_NO_EDIT,false,alta,(Otros clubes en tu ciudad],body[702,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00281,CA-00769,,COMPATIBLE_NO_EDIT,false,alta,(otros clubes en elarea],body[704,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00282,CA-00770,,COMPATIBLE_NO_EDIT,false,alta,Shows the other 1 or 2 clubs in the city,body[705,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00283,CA-00771,,COMPATIBLE_NO_EDIT,false,alta,No additional options.,body[705,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00284,CA-00772,,COMPATIBLE_NO_EDIT,false,alta,"Twooptions:(1)clubsnear([name of current club]] (10 km radius); (2) clubs near a different location -when chosen, the system asks ifit is home, work, school, or other, then city/ neighborhood/ ZIP. After that, applies the city-count filter for the new city.",body[708,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00285,CA-00773,,COMPATIBLE_NO_EDIT,false,alta,(CIUDAD-,body[710,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00286,CA-00774,,COMPATIBLE_NO_EDIT,false,alta,ZMVM),body[711,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00287,CA-00775,,COMPATIBLE_NO_EDIT,false,alta,"Noclubidentified,(Tu Club no inferred ideal] location",body[712,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00288,CA-00776,,REQUIERE_EDIT,false,media,The system prompts P8 and P9 from the questionnaire to identify the club.,body[713,,,Update code reference P->Q only; do NOT alter rule prose (§6),Rules 22-31/33,code-ref update permitted by §6; text preserved
M-00289,CA-00777,,COMPATIBLE_NO_EDIT,false,alta,The contextual menu,body[719]/Heading4,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00290,CA-00778,,COMPATIBLE_NO_EDIT,false,alta,Rule 25 - What the contextual menu is,body[720,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00291,CA-00779,,COMPATIBLE_NO_EDIT,false,alta,"The contextual menu is the set of buttons that appear as primary actions inside the body content of a page, not in the header",body[721,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00292,CA-00780,,COMPATIBLE_NO_EDIT,false,alta,It changes based on the page and the user's state at the moment of landing.,body[721,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00293,CA-00781,,COMPATIBLE_NO_EDIT,false,alta,There are two kinds of buttons in the contextual menu:,body[722,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00294,CA-00782,,COMPATIBLE_NO_EDIT,false,alta,"Always-on buttons, subject to global conditions that apply across nearly all pages.",body[723,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00295,CA-00783,,COMPATIBLE_NO_EDIT,false,alta,Page-specific buttons that depend on the content of that particular page.,body[724,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00296,CA-00784,,COMPATIBLE_NO_EDIT,false,alta,Rule 26 -always appears,body[726]/Heading4,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00297,CA-00785,,COMPATIBLE_NO_EDIT,false,alta,Agenda tu visita guiada,body[726]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00298,CA-00786,,COMPATIBLE_NO_EDIT,false,alta,"In the contextual menu of every page, in every state, the(Book your",body[727,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00299,CA-00787,,COMPATIBLE_NO_EDIT,false,alta,Agenda tuvisi ta guiada,body[727]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00300,CA-00788,,COMPATIBLE_NO_EDIT,false,alta,guided visit) button appears,body[728,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00301,CA-00789,,COMPATIBLE_NO_EDIT,false,alta,It is the site's conversion action,body[728,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00302,CA-00790,,COMPATIBLE_NO_EDIT,false,alta,There are no exceptions,body[728,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00303,CA-00791,,COMPATIBLE_NO_EDIT,false,alta,This is the,body[728,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00304,CA-00792,,COMPATIBLE_NO_EDIT,false,alta,body-content counterpart of the header same booking flow.,body[730,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00305,CA-00793,,COMPATIBLE_NO_EDIT,false,alta,Agenda tuvisi ta,body[730]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00306,CA-00794,,COMPATIBLE_NO_EDIT,false,alta,button (Rule 6); both lead to the,body[731,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00307,CA-00795,,COMPATIBLE_NO_EDIT,false,alta,Rule 27-appears when the questionnaire is incomplete,body[734]/Heading4,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00308,CA-00796,,COMPATIBLE_NO_EDIT,false,alta,Disefia tu experiencia,body[734]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00309,CA-00797,,COMPATIBLE_NO_EDIT,false,alta,"As long as the user has not completed the questionnaire, Disena tu experiencia appears in the contextual menu of every page",body[735,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00310,CA-00798,,COMPATIBLE_NO_EDIT,false,alta,The system needs to capture the questionnaire variables and remind the user that this option is available,body[735,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00311,CA-00799,,COMPATIBLE_NO_EDIT,false,alta,"Once the questionnaire is complete, [ Disena tu experiencia)stops appearing in the contextual menu (the button stays in the header per Rule 1, but it does not duplicate inside the body).",body[735,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00312,CA-00800,,COMPATIBLE_NO_EDIT,false,alta,Rule 28-appears when the questionnaire is complete,body[736]/Heading4,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00313,CA-00801,,COMPATIBLE_NO_EDIT,false,alta,Volver a tu experiencia ideal,body[736]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00314,CA-00802,,COMPATIBLE_NO_EDIT,false,alta,"Once the user has completed the questionnaire, Volver a tu experiencia ideal (Back to your ideal experience) appears in the contextual menu",body[737,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00315,CA-00803,,COMPATIBLE_NO_EDIT,false,alta,It replaces the Disena tu experiencia button,body[737,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00316,CA-00804,,COMPATIBLE_NO_EDIT,false,alta,It takes the user back to their personalized plan output.,body[737,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00317,CA-00805,,COMPATIBLE_NO_EDIT,false,alta,Rule 29-- when it appears,body[738,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00318,CA-00806,,COMPATIBLE_NO_EDIT,false,alta,Articulos o informaci6n util,body[738]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00319,CA-00807,,COMPATIBLE_NO_EDIT,false,alta,Each Journal article carries one or more tags that associate it with relevant pages on the site,body[739,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00320,CA-00808,,COMPATIBLE_NO_EDIT,false,alta,Possible tags include:,body[739,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00321,CA-00809,,COMPATIBLE_NO_EDIT,false,alta,bajar-de-peso,body[740]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00322,CA-00810,,COMPATIBLE_NO_EDIT,false,alta,primeros-pasos,body[740]/txbx[1]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00323,CA-00811,,COMPATIBLE_NO_EDIT,false,alta,salud-y-bienestar,body[740]/txbx[2]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00324,CA-00812,,COMPATIBLE_NO_EDIT,false,alta,tonificar,body[740]/txbx[3]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00325,CA-00813,,COMPATIBLE_NO_EDIT,false,alta,ganar-fuerza,body[740]/txbx[4]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00326,CA-00814,,COMPATIBLE_NO_EDIT,false,alta,rehabili tacion,body[740]/txbx[5]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00327,CA-00815,,COMPATIBLE_NO_EDIT,false,alta,personal-training,body[743]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00328,CA-00816,,COMPATIBLE_NO_EDIT,false,alta,fitkidz,body[744]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00329,CA-00817,,COMPATIBLE_NO_EDIT,false,alta,••,body[748,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00330,CA-00818,,COMPATIBLE_NO_EDIT,false,alta,amenidad-alberca • amenidad-intenz • amenidad-ring-de-box,body[756]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00331,CA-00819,,COMPATIBLE_NO_EDIT,false,alta,[amenidad-muro-de-,body[756]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00332,CA-00820,,COMPATIBLE_NO_EDIT,false,alta,escalar) • amenidad-canchas • amenidad-sauna-vapor • amenidad-cafeteria,body[756]/txbx[0]/p[1,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00333,CA-00821,,COMPATIBLE_NO_EDIT,false,alta,clase-[specific-discipline],body[756]/txbx[1]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00334,CA-00822,,COMPATIBLE_NO_EDIT,false,alta,club-[club-name],body[757]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00335,CA-00823,,COMPATIBLE_NO_EDIT,false,alta,"When a user lands on a page and at least one Journal article exists with a tag matching that page, the contextual menu shows the Articulos o informaci6n util button, which expands to display the relevant articles",body[759,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00336,CA-00824,,COMPATIBLE_NO_EDIT,false,alta,"If no articles are tagged for that page, the button does not appear.",body[759,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00337,CA-00825,,COMPATIBLE_NO_EDIT,false,alta,Rule 30 - FitKidz-specific buttons,body[760]/Heading4,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00338,CA-00826,,COMPATIBLE_NO_EDIT,false,alta,"On the FitKidz page, in addition to the general buttons, a specific button -[ Clases Fi tKidz disponibles) (Available FitKidz classes) - appears once the user has a club identified",body[762,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00339,CA-00827,,COMPATIBLE_NO_EDIT,false,alta,"On press, it shows the FitKidz classes offered at that user's club, with their schedules.",body[762,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00340,CA-00828,,COMPATIBLE_NO_EDIT,false,alta,"This button does not appear when the user has no club identified, because each club has a different subset of the 34 FitKidz activities, and showing them all without context would be misleading.",body[763,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00341,CA-00829,,COMPATIBLE_NO_EDIT,false,alta,The 34 FitKidz activities are organized within the FitKidz hub by:,body[765,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00342,CA-00830,,COMPATIBLE_NO_EDIT,false,alta,"Age range (toddlers, kids, pre-teens, teens- concrete ranges set by the content team).",body[766,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00343,CA-00831,,COMPATIBLE_NO_EDIT,false,alta,"Discipline type (aquatic, athletic, expressive, martial, fitness).",body[767,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00344,CA-00832,,COMPATIBLE_NO_EDIT,false,alta,Club availability (which clubs offer this activity).,body[768,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00345,CA-00833,,COMPATIBLE_NO_EDIT,false,alta,Rule 31 -Buttons shown when surfacing clubs in FitKidz,body[770]/Heading4,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00346,CA-00834,,COMPATIBLE_NO_EDIT,false,alta,"When the user is on FitKidz and the system surfaces up to 3 proposed clubs (per the geographic rules in Rule 24), each of the 3 clubs is presented with three of its own buttons:",body[771,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00347,CA-00835,,COMPATIBLE_NO_EDIT,false,alta,1.,body[773,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00348,CA-00836,,COMPATIBLE_NO_EDIT,false,alta,Conoce elclub,body[773]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
